銘柄コード,銘柄名,市場区分,日経225採否
3391,ツルハホールディングス,プライム（内国株式）,False
3392,デリカフーズホールディングス,スタンダード（内国株式）,False
3393,スターティアホールディングス,プライム（内国株式）,False
3395,サンマルクホールディングス,プライム（内国株式）,False
3396,フェリシモ,スタンダード（内国株式）,False
3397,トリドールホールディングス,プライム（内国株式）,False
3399,丸千代山岡家,スタンダード（内国株式）,False
339A,プログレス・テクノロジーズ　グループ,グロース（内国株式）,False
3401,帝人,プライム（内国株式）,True
3402,東レ,プライム（内国株式）,True
3405,クラレ,プライム（内国株式）,True
3407,旭化成,プライム（内国株式）,True
3409,北紡,スタンダード（内国株式）,False
340A,ジグザグ,グロース（内国株式）,False
3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム（内国株式）,False
3416,ピクスタ,グロース（内国株式）,False
3417,大木ヘルスケアホールディングス,スタンダード（内国株式）,False
3418,バルニバービ,グロース（内国株式）,False
341A,トヨコー,グロース（内国株式）,False
3420,ケー・エフ・シー,スタンダード（内国株式）,False
3421,稲葉製作所,スタンダード（内国株式）,False
3422,Ｊ－ＭＡＸ,スタンダード（内国株式）,False
3423,エスイー,スタンダード（内国株式）,False
3426,アトムリビンテック,スタンダード（内国株式）,False
3431,宮地エンジニアリンググループ,プライム（内国株式）,False
3433,トーカロ,プライム（内国株式）,False
3434,アルファＣｏ,スタンダード（内国株式）,False
3435,サンコーテクノ,スタンダード（内国株式）,False
3436,ＳＵＭＣＯ,プライム（内国株式）,True
3437,特殊電極,スタンダード（内国株式）,False
3439,三ツ知,スタンダード（内国株式）,False
343A,ＩＡＣＥトラベル,スタンダード（内国株式）,False
3440,日創グループ,スタンダード（内国株式）,False
3441,山王,スタンダード（内国株式）,False
3443,川田テクノロジーズ,プライム（内国株式）,False
3444,菊池製作所,スタンダード（内国株式）,False
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム（内国株式）,False
3446,ジェイテックコーポレーション,スタンダード（内国株式）,False
3447,信和,スタンダード（内国株式）,False
3449,テクノフレックス,スタンダード（内国株式）,False
3452,ビーロット,スタンダード（内国株式）,False
3454,ファーストブラザーズ,スタンダード（内国株式）,False
3457,Ａｎｄ　Ｄｏホールディングス,プライム（内国株式）,False
3461,パルマ,スタンダード（内国株式）,False
3465,ケイアイスター不動産,プライム（内国株式）,False
3467,アグレ都市デザイン,スタンダード（内国株式）,False
3469,デュアルタップ,スタンダード（内国株式）,False
3474,Ｇ－ＦＡＣＴＯＲＹ,グロース（内国株式）,False
3475,グッドコムアセット,プライム（内国株式）,False
3477,フォーライフ,グロース（内国株式）,False
3479,ティーケーピー,グロース（内国株式）,False
3480,ジェイ・エス・ビー,プライム（内国株式）,False
3482,ロードスターキャピタル,プライム（内国株式）,False
3484,イノベーションホールディングス,プライム（内国株式）,False
3486,グローバル・リンク・マネジメント,プライム（内国株式）,False
3489,フェイスネットワーク,スタンダード（内国株式）,False
3490,アズ企画設計,スタンダード（内国株式）,False
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,False
3494,マリオン,スタンダード（内国株式）,False
3495,香陵住販,スタンダード（内国株式）,False
3496,アズーム,プライム（内国株式）,False
3497,ＬｅＴｅｃｈ,グロース（内国株式）,False
3498,霞ヶ関キャピタル,プライム（内国株式）,False
3501,ＳＵＭＩＮＯＥ,プライム（内国株式）,False
350A,デジタルグリッド,グロース（内国株式）,False
3512,日本フエルト,スタンダード（内国株式）,False
3513,イチカワ,スタンダード（内国株式）,False
3521,エコナックホールディングス,スタンダード（内国株式）,False
3524,日東製網,スタンダード（内国株式）,False
3526,芦森工業,スタンダード（内国株式）,False
3529,アツギ,スタンダード（内国株式）,False
352A,ＬＯＩＶＥ,グロース（内国株式）,False
3536,アクサスホールディングス,スタンダード（内国株式）,False
3537,昭栄薬品,スタンダード（内国株式）,False
3538,ウイルプラスホールディングス,スタンダード（内国株式）,False
3539,ＪＭホールディングス,プライム（内国株式）,False
3540,歯愛メディカル,スタンダード（内国株式）,False
3541,農業総合研究所,グロース（内国株式）,False
3542,ベガコーポレーション,グロース（内国株式）,False
3543,コメダホールディングス,プライム（内国株式）,False
3544,サツドラホールディングス,スタンダード（内国株式）,False
3546,アレンザホールディングス,プライム（内国株式）,False
3547,串カツ田中ホールディングス,スタンダード（内国株式）,False
3548,バロックジャパンリミテッド,プライム（内国株式）,False
3549,クスリのアオキホールディングス,プライム（内国株式）,False
3550,スタジオアタオ,グロース（内国株式）,False
3551,ダイニック,スタンダード（内国株式）,False
3553,共和レザー,スタンダード（内国株式）,False
3556,リネットジャパングループ,グロース（内国株式）,False
3557,ユナイテッド＆コレクティブ,グロース（内国株式）,False
3558,ジェイドグループ,グロース（内国株式）,False
3559,ピーバンドットコム,スタンダード（内国株式）,False
3560,ほぼ日,スタンダード（内国株式）,False
3561,力の源ホールディングス,プライム（内国株式）,False
3562,Ｎｏ．１,スタンダード（内国株式）,False
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム（内国株式）,False
3565,アセンテック,スタンダード（内国株式）,False
3566,ユニフォームネクスト,グロース（内国株式）,False
3569,セーレン,プライム（内国株式）,False
3571,ソトー,スタンダード（内国株式）,False
3577,東海染工,スタンダード（内国株式）,False
3580,小松マテーレ,プライム（内国株式）,False
3583,オーベクス,スタンダード（内国株式）,False
3591,ワコールホールディングス,プライム（内国株式）,False
3593,ホギメディカル,プライム（内国株式）,False
3597,自重堂,スタンダード（内国株式）,False
3598,山喜,スタンダード（内国株式）,False
3600,フジックス,スタンダード（内国株式）,False
3607,クラウディアホールディングス,スタンダード（内国株式）,False
3608,ＴＳＩホールディングス,プライム（内国株式）,False
3611,マツオカコーポレーション,スタンダード（内国株式）,False
3612,ワールド,プライム（内国株式）,False
3622,ネットイヤーグループ,グロース（内国株式）,False
3623,ビリングシステム,グロース（内国株式）,False
3624,アクセルマーク,グロース（内国株式）,False
3625,テックファームホールディングス,グロース（内国株式）,False
3626,ＴＩＳ,プライム（内国株式）,False
3627,テクミラホールディングス,スタンダード（内国株式）,False
3628,データホライゾン,グロース（内国株式）,False
3632,グリーホールディングス,プライム（内国株式）,False
3633,ＧＭＯペパボ,スタンダード（内国株式）,False
3634,ソケッツ,スタンダード（内国株式）,False
3635,コーエーテクモホールディングス,プライム（内国株式）,False
3636,三菱総合研究所,プライム（内国株式）,False
3639,ボルテージ,スタンダード（内国株式）,False
3640,電算,スタンダード（内国株式）,False
3641,パピレス,スタンダード（内国株式）,False
3645,メディカルネット,グロース（内国株式）,False
3646,駅探,グロース（内国株式）,False
3647,ジー・スリーホールディングス,スタンダード（内国株式）,False
3648,ＡＧＳ,スタンダード（内国株式）,False
3649,ファインデックス,プライム（内国株式）,False
3652,ディジタルメディアプロフェッショナル,グロース（内国株式）,False
3653,モルフォ,グロース（内国株式）,False
3655,ブレインパッド,プライム（内国株式）,False
3656,ＫＬａｂ,プライム（内国株式）,False
3657,ポールトゥウィンホールディングス,プライム（内国株式）,False
3659,ネクソン,プライム（内国株式）,True
365A,伊澤タオル,スタンダード（内国株式）,False
3660,アイスタイル,プライム（内国株式）,False
3661,エムアップホールディングス,プライム（内国株式）,False
3662,エイチームホールディングス,プライム（内国株式）,False
3663,セルシス,プライム（内国株式）,False
3664,モブキャストホールディングス,グロース（内国株式）,False
3665,エニグモ,プライム（内国株式）,False
3667,ｅｎｉｓｈ,スタンダード（内国株式）,False
3668,コロプラ,プライム（内国株式）,False
366A,ウェルネス・コミュニケーションズ,グロース（内国株式）,False
3670,協立情報通信,スタンダード（内国株式）,False
3671,ソフトマックス,グロース（内国株式）,False
3672,オルトプラス,スタンダード（内国株式）,False
3673,ブロードリーフ,プライム（内国株式）,False
3674,オークファン,グロース（内国株式）,False
3675,クロス・マーケティンググループ,プライム（内国株式）,False
3676,デジタルハーツホールディングス,プライム（内国株式）,False
3678,メディアドゥ,プライム（内国株式）,False
3679,じげん,プライム（内国株式）,False
367A,プリモグローバルホールディングス,スタンダード（内国株式）,False
3680,ホットリンク,グロース（内国株式）,False
3681,ブイキューブ,プライム（内国株式）,False
3682,エンカレッジ・テクノロジ,スタンダード（内国株式）,False
3683,サイバーリンクス,スタンダード（内国株式）,False
3686,ディー・エル・イー,スタンダード（内国株式）,False
3687,フィックスターズ,プライム（内国株式）,False
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,プライム（内国株式）,False
368A,北里コーポレーション,プライム（内国株式）,False
3690,イルグルム,スタンダード（内国株式）,False
3691,デジタルプラス,グロース（内国株式）,False
3692,ＦＦＲＩセキュリティ,グロース（内国株式）,False
3694,オプティム,プライム（内国株式）,False
3695,ＧＭＯリサーチ＆ＡＩ,グロース（内国株式）,False
3696,セレス,プライム（内国株式）,False
3697,ＳＨＩＦＴ,プライム（内国株式）,False
3698,ＣＲＩ・ミドルウェア,グロース（内国株式）,False
369A,エータイ,グロース（内国株式）,False
3708,特種東海製紙,プライム（内国株式）,False
3710,ジョルダン,スタンダード（内国株式）,False
3712,情報企画,スタンダード（内国株式）,False
3719,ＡＩストーム,スタンダード（内国株式）,False
3723,日本ファルコム,グロース（内国株式）,False
3726,フォーシーズＨＤ,スタンダード（内国株式）,False
3727,アプリックス,グロース（内国株式）,False
372A,レント,スタンダード（内国株式）,False
3733,ソフトウェア・サービス,スタンダード（内国株式）,False
373A,リップス,グロース（内国株式）,False
3741,セック,プライム（内国株式）,False
3744,サイオス,スタンダード（内国株式）,False
3747,インタートレード,スタンダード（内国株式）,False
3750,ＡＤＲ１２０Ｓ,スタンダード（内国株式）,False
3753,フライトソリューションズ,スタンダード（内国株式）,False
3758,アエリア,スタンダード（内国株式）,False
3760,ケイブ,スタンダード（内国株式）,False
3762,テクマトリックス,プライム（内国株式）,False
3763,プロシップ,プライム（内国株式）,False
3765,ガンホー・オンライン・エンターテイメント,プライム（内国株式）,False
3766,システムズ・デザイン,スタンダード（内国株式）,False
3768,リスクモンスター,スタンダード（内国株式）,False
3769,ＧＭＯペイメントゲートウェイ,プライム（内国株式）,False
3770,ザッパラス,スタンダード（内国株式）,False
3771,システムリサーチ,プライム（内国株式）,False
3772,ウェルス・マネジメント,スタンダード（内国株式）,False
3773,アドバンスト・メディア,グロース（内国株式）,False
3774,インターネットイニシアティブ,プライム（内国株式）,False
3776,ブロードバンドタワー,スタンダード（内国株式）,False
3777,環境フレンドリーホールディングス,グロース（内国株式）,False
3778,さくらインターネット,プライム（内国株式）,False
3779,ジェイ・エスコムホールディングス,スタンダード（内国株式）,False
3787,テクノマセマティカル,スタンダード（内国株式）,False
3788,ＧＭＯグローバルサイン・ホールディングス,プライム（内国株式）,False
378A,ヒット,グロース（内国株式）,False
3791,ＩＧポート,スタンダード（内国株式）,False
3793,ドリコム,グロース（内国株式）,False
3796,いい生活,スタンダード（内国株式）,False
3798,ＵＬＳグループ,スタンダード（内国株式）,False
3799,キーウェアソリューションズ,スタンダード（内国株式）,False
3800,ユニリタ,スタンダード（内国株式）,False
3802,エコミック,スタンダード（内国株式）,False
3803,イメージ情報開発,グロース（内国株式）,False
3804,システム　ディ,スタンダード（内国株式）,False
3807,フィスコ,グロース（内国株式）,False
3810,サイバーステップ,スタンダード（内国株式）,False
3814,アルファクス・フード・システム,グロース（内国株式）,False
3815,メディア工房,グロース（内国株式）,False
3816,大和コンピューター,スタンダード（内国株式）,False
3817,ＳＲＡホールディングス,プライム（内国株式）,False
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,スタンダード（内国株式）,False
3825,リミックスポイント,スタンダード（内国株式）,False
3826,システムインテグレータ,スタンダード（内国株式）,False
3834,朝日ネット,プライム（内国株式）,False
3835,ｅＢＡＳＥ,プライム（内国株式）,False
3836,アバントグループ,プライム（内国株式）,False
3837,アドソル日進,プライム（内国株式）,False
3839,ＯＤＫソリューションズ,スタンダード（内国株式）,False
3840,パス,スタンダード（内国株式）,False
3841,ジーダット,スタンダード（内国株式）,False
3842,ネクストジェン,スタンダード（内国株式）,False
3843,フリービット,プライム（内国株式）,False
3844,コムチュア,プライム（内国株式）,False
3845,アイフリークモバイル,スタンダード（内国株式）,False
3847,パシフィックシステム,スタンダード（内国株式）,False
3848,データ・アプリケーション,スタンダード（内国株式）,False
3850,エヌ・ティ・ティ・データ・イントラマート,スタンダード（内国株式）,False
3851,日本一ソフトウェア,スタンダード（内国株式）,False
3853,アステリア,プライム（内国株式）,False
3854,アイル,プライム（内国株式）,False
3856,Ａｂａｌａｎｃｅ,スタンダード（内国株式）,False
3858,ユビキタスＡＩ,スタンダード（内国株式）,False
3861,王子ホールディングス,プライム（内国株式）,True
3863,日本製紙,プライム（内国株式）,False
3864,三菱製紙,プライム（内国株式）,False
3865,北越コーポレーション,プライム（内国株式）,False
386A,みのや,スタンダード（内国株式）,False
3877,中越パルプ工業,プライム（内国株式）,False
3878,巴川コーポレーション,スタンダード（内国株式）,False
387A,フラー,グロース（内国株式）,False
3880,大王製紙,プライム（内国株式）,False
3891,ニッポン高度紙工業,スタンダード（内国株式）,False
3892,岡山製紙,スタンダード（内国株式）,False
3895,ハビックス,スタンダード（内国株式）,False
3896,阿波製紙,スタンダード（内国株式）,False
3900,クラウドワークス,グロース（内国株式）,False
3901,マークラインズ,プライム（内国株式）,False
3902,メディカル・データ・ビジョン,プライム（内国株式）,False
3903,ｇｕｍｉ,プライム（内国株式）,False
3904,カヤック,グロース（内国株式）,False
3905,データセクション,グロース（内国株式）,False
3907,シリコンスタジオ,グロース（内国株式）,False
3908,コラボス,グロース（内国株式）,False
3909,ショーケース,スタンダード（内国株式）,False
3910,エムケイシステム,スタンダード（内国株式）,False
3911,Ａｉｍｉｎｇ,グロース（内国株式）,False
3912,モバイルファクトリー,スタンダード（内国株式）,False
3913,ＧｒｅｅｎＢｅｅ,グロース（内国株式）,False
3914,ＪＩＧ－ＳＡＷ,グロース（内国株式）,False
3915,テラスカイ,プライム（内国株式）,False
3916,デジタル・インフォメーション・テクノロジー,プライム（内国株式）,False
3917,アイリッジ,グロース（内国株式）,False
3918,ＰＣＩホールディングス,スタンダード（内国株式）,False
3920,アイビーシー,スタンダード（内国株式）,False
3921,ネオジャパン,プライム（内国株式）,False
3922,ＰＲ　ＴＩＭＥＳ,プライム（内国株式）,False
3923,ラクス,プライム（内国株式）,False
3924,ランドコンピュータ,プライム（内国株式）,False
3925,ダブルスタンダード,プライム（内国株式）,False
3926,オープンドア,プライム（内国株式）,False
3927,フーバーブレイン,グロース（内国株式）,False
3928,マイネット,スタンダード（内国株式）,False
3929,ソーシャルワイヤー,グロース（内国株式）,False
3930,はてな,グロース（内国株式）,False
3931,バリューゴルフ,グロース（内国株式）,False
3932,アカツキ,プライム（内国株式）,False
3933,チエル,スタンダード（内国株式）,False
3934,ベネフィットジャパン,スタンダード（内国株式）,False
3935,エディア,スタンダード（内国株式）,False
3936,グローバルウェイ,グロース（内国株式）,False
3937,Ｕｂｉｃｏｍホールディングス,プライム（内国株式）,False
3939,カナミックネットワーク,プライム（内国株式）,False
3940,ノムラシステムコーポレーション,スタンダード（内国株式）,False
3941,レンゴー,プライム（内国株式）,False
3943,大石産業,スタンダード（内国株式）,False
3944,古林紙工,スタンダード（内国株式）,False
3945,スーパーバッグ,スタンダード（内国株式）,False
3946,トーモク,プライム（内国株式）,False
3947,ダイナパック,スタンダード（内国株式）,False
3948,光ビジネスフォーム,スタンダード（内国株式）,False
3950,ザ・パック,プライム（内国株式）,False
3951,朝日印刷,スタンダード（内国株式）,False
3953,大村紙業,スタンダード（内国株式）,False
3954,昭和パックス,スタンダード（内国株式）,False
3955,イムラ,スタンダード（内国株式）,False
3958,笹徳印刷,スタンダード（内国株式）,False
3961,シルバーエッグ・テクノロジー,グロース（内国株式）,False
3962,チェンジホールディングス,プライム（内国株式）,False
3963,シンクロ・フード,プライム（内国株式）,False
3964,オークネット,プライム（内国株式）,False
3965,キャピタル・アセット・プランニング,スタンダード（内国株式）,False
3967,エルテス,グロース（内国株式）,False
3968,セグエグループ,プライム（内国株式）,False
3969,エイトレッド,スタンダード（内国株式）,False
3970,イノベーション,グロース（内国株式）,False
3974,ＳＣＡＴ,スタンダード（内国株式）,False
3976,シャノン,グロース（内国株式）,False
3979,うるる,グロース（内国株式）,False
3981,ビーグリー,スタンダード（内国株式）,False
3983,オロ,プライム（内国株式）,False
3984,ユーザーローカル,プライム（内国株式）,False
3985,テモナ,スタンダード（内国株式）,False
3986,ビーブレイクシステムズ,グロース（内国株式）,False
3987,エコモット,グロース（内国株式）,False
3988,ＳＹＳホールディングス,スタンダード（内国株式）,False
3989,シェアリングテクノロジー,グロース（内国株式）,False
3991,ウォンテッドリー,グロース（内国株式）,False
3992,ニーズウェル,プライム（内国株式）,False
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,プライム（内国株式）,False
3994,マネーフォワード,プライム（内国株式）,False
3996,サインポスト,スタンダード（内国株式）,False
3997,トレードワークス,スタンダード（内国株式）,False
3998,すららネット,グロース（内国株式）,False
4004,レゾナック・ホールディングス,プライム（内国株式）,True
4005,住友化学,プライム（内国株式）,True
4008,住友精化,プライム（内国株式）,False
4011,ヘッドウォータース,グロース（内国株式）,False
4012,アクシス,スタンダード（内国株式）,False
4013,勤次郎,グロース（内国株式）,False
4014,カラダノート,グロース（内国株式）,False
4015,ペイクラウドホールディングス,グロース（内国株式）,False
4016,ＭＩＴホールディングス,スタンダード（内国株式）,False
4017,クリーマ,グロース（内国株式）,False
4019,スタメン,グロース（内国株式）,False
4020,ビートレンド,グロース（内国株式）,False
4021,日産化学,プライム（内国株式）,True
4022,ラサ工業,プライム（内国株式）,False
4023,クレハ,プライム（内国株式）,False
4025,多木化学,プライム（内国株式）,False
4026,神島化学工業,スタンダード（内国株式）,False
4027,テイカ,プライム（内国株式）,False
4028,石原産業,プライム（内国株式）,False
402A,アクセルスペースホールディングス,グロース（内国株式）,False
4031,片倉コープアグリ,スタンダード（内国株式）,False
4040,南海化学,スタンダード（内国株式）,False
4041,日本曹達,プライム（内国株式）,False
4042,東ソー,プライム（内国株式）,True
4043,トクヤマ,プライム（内国株式）,True
4044,セントラル硝子,プライム（内国株式）,False
4045,東亞合成,プライム（内国株式）,False
4046,大阪ソーダ,プライム（内国株式）,False
4047,関東電化工業,プライム（内国株式）,False
4051,ＧＭＯフィナンシャルゲート,プライム（内国株式）,False
4052,フィーチャ,グロース（内国株式）,False
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,プライム（内国株式）,False
4054,日本情報クリエイト,グロース（内国株式）,False
4055,ティアンドエスグループ,グロース（内国株式）,False
4056,ニューラルグループ,グロース（内国株式）,False
4057,インターファクトリー,グロース（内国株式）,False
4058,トヨクモ,グロース（内国株式）,False
4059,まぐまぐ,スタンダード（内国株式）,False
4060,ｒａｋｕｍｏ,グロース（内国株式）,False
4061,デンカ,プライム（内国株式）,True
4062,イビデン,プライム（内国株式）,False
4063,信越化学工業,プライム（内国株式）,True
4064,日本カーバイド工業,プライム（内国株式）,False
4068,ベイシス,グロース（内国株式）,False
4069,ＢｌｕｅＭｅｍｅ,グロース（内国株式）,False
4071,プラスアルファ・コンサルティング,プライム（内国株式）,False
4072,電算システムホールディングス,プライム（内国株式）,False
4073,ジィ・シィ企画,グロース（内国株式）,False
4074,ラキール,グロース（内国株式）,False
4075,ブレインズテクノロジー,グロース（内国株式）,False
4076,シイエヌエス,グロース（内国株式）,False
4078,堺化学工業,プライム（内国株式）,False
4080,田中化学研究所,スタンダード（内国株式）,False
4082,第一稀元素化学工業,プライム（内国株式）,False
4088,エア・ウォーター,プライム（内国株式）,False
4091,日本酸素ホールディングス,プライム（内国株式）,False
4092,日本化学工業,プライム（内国株式）,False
4093,東邦アセチレン,プライム（内国株式）,False
4094,日本化学産業,スタンダード（内国株式）,False
4095,日本パーカライジング,プライム（内国株式）,False
4097,高圧ガス工業,プライム（内国株式）,False
4098,チタン工業,スタンダード（内国株式）,False
4099,四国化成ホールディングス,プライム（内国株式）,False
4100,戸田工業,スタンダード（内国株式）,False
4102,丸尾カルシウム,スタンダード（内国株式）,False
4107,伊勢化学工業,スタンダード（内国株式）,False
4109,ステラ　ケミファ,プライム（内国株式）,False
4112,保土谷化学工業,プライム（内国株式）,False
4113,田岡化学工業,スタンダード（内国株式）,False
4114,日本触媒,プライム（内国株式）,False
4116,大日精化工業,プライム（内国株式）,False
4118,カネカ,プライム（内国株式）,False
4119,日本ピグメントホールディングス,スタンダード（内国株式）,False
4120,スガイ化学工業,スタンダード（内国株式）,False
4124,大阪油化工業,スタンダード（内国株式）,False
4125,三和油化工業,スタンダード（内国株式）,False
4151,協和キリン,プライム（内国株式）,True
4165,プレイド,グロース（内国株式）,False
4166,かっこ,グロース（内国株式）,False
4167,ココペリ,グロース（内国株式）,False
4168,ヤプリ,グロース（内国株式）,False
4169,ＥＮＥＣＨＡＮＧＥ,グロース（内国株式）,False
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース（内国株式）,False
4171,グローバルインフォメーション,スタンダード（内国株式）,False
4172,東和ハイシステム,スタンダード（内国株式）,False
4174,アピリッツ,スタンダード（内国株式）,False
4175,ｃｏｌｙ,グロース（内国株式）,False
4176,ココナラ,グロース（内国株式）,False
4177,ｉ‐ｐｌｕｇ,グロース（内国株式）,False
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース（内国株式）,False
4179,ジーネクスト,グロース（内国株式）,False
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム（内国株式）,False
4182,三菱瓦斯化学,プライム（内国株式）,False
4183,三井化学,プライム（内国株式）,True
4186,東京応化工業,プライム（内国株式）,False
4187,大阪有機化学工業,プライム（内国株式）,False
4188,三菱ケミカルグループ,プライム（内国株式）,True
4189,ＫＨネオケム,プライム（内国株式）,False
4192,スパイダープラス,グロース（内国株式）,False
4193,ファブリカホールディングス,スタンダード（内国株式）,False
4194,ビジョナル,プライム（内国株式）,False
4196,ネオマーケティング,スタンダード（内国株式）,False
4197,アスマーク,スタンダード（内国株式）,False
4198,テンダ,スタンダード（内国株式）,False
4199,ワンダープラネット,グロース（内国株式）,False
4202,ダイセル,プライム（内国株式）,False
4203,住友ベークライト,プライム（内国株式）,False
4204,積水化学工業,プライム（内国株式）,False
4205,日本ゼオン,プライム（内国株式）,False
4206,アイカ工業,プライム（内国株式）,False
4208,ＵＢＥ,プライム（内国株式）,True
4212,積水樹脂,プライム（内国株式）,False
4216,旭有機材,プライム（内国株式）,False
4218,ニチバン,プライム（内国株式）,False
4220,リケンテクノス,プライム（内国株式）,False
4221,大倉工業,プライム（内国株式）,False
4222,児玉化学工業,スタンダード（内国株式）,False
4224,ロンシール工業,スタンダード（内国株式）,False
4228,積水化成品工業,プライム（内国株式）,False
4229,群栄化学工業,プライム（内国株式）,False
4231,タイガースポリマー,スタンダード（内国株式）,False
4234,サンエー化研,スタンダード（内国株式）,False
4235,ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,False
4237,フジプレアム,スタンダード（内国株式）,False
4238,ミライアル,スタンダード（内国株式）,False
4240,クラスターテクノロジー,グロース（内国株式）,False
4241,アテクト,スタンダード（内国株式）,False
4242,タカギセイコー,スタンダード（内国株式）,False
4243,ニックス,スタンダード（内国株式）,False
4245,ダイキアクシス,スタンダード（内国株式）,False
4246,ダイキョーニシカワ,プライム（内国株式）,False
4247,ポバール興業,スタンダード（内国株式）,False
4248,竹本容器,スタンダード（内国株式）,False
4249,森六,プライム（内国株式）,False
4251,恵和,プライム（内国株式）,False
4255,ＴＨＥＣＯＯ,グロース（内国株式）,False
4256,サインド,グロース（内国株式）,False
4258,網屋,グロース（内国株式）,False
4259,エクサウィザーズ,グロース（内国株式）,False
4260,ハイブリッドテクノロジーズ,グロース（内国株式）,False
4261,アジアクエスト,グロース（内国株式）,False
4262,ニフティライフスタイル,グロース（内国株式）,False
4263,サスメド,グロース（内国株式）,False
4264,セキュア,グロース（内国株式）,False
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,グロース（内国株式）,False
4270,ＢｅｅＸ,グロース（内国株式）,False
4272,日本化薬,プライム（内国株式）,False
4274,細谷火工,スタンダード（内国株式）,False
4275,カーリット,プライム（内国株式）,False
4284,ソルクシーズ,スタンダード（内国株式）,False
4286,ＣＬホールディングス,スタンダード（内国株式）,False
4287,ジャストプランニング,スタンダード（内国株式）,False
4288,アズジェント,スタンダード（内国株式）,False
4290,プレステージ・インターナショナル,プライム（内国株式）,False
4293,セプテーニ・ホールディングス,スタンダード（内国株式）,False
4299,ハイマックス,スタンダード（内国株式）,False
4301,アミューズ,プライム（内国株式）,False
4307,野村総合研究所,プライム（内国株式）,True
4308,Ｊストリーム,グロース（内国株式）,False
4310,ドリームインキュベータ,プライム（内国株式）,False
4316,ビーマップ,グロース（内国株式）,False
4317,レイ,スタンダード（内国株式）,False
4318,クイック,プライム（内国株式）,False
4319,ＴＡＣ,スタンダード（内国株式）,False
4320,ＣＥホールディングス,スタンダード（内国株式）,False
4323,日本システム技術,プライム（内国株式）,False
4324,電通グループ,プライム（内国株式）,True
4326,インテージホールディングス,プライム（内国株式）,False
4331,テイクアンドギヴ・ニーズ,プライム（内国株式）,False
4333,東邦システムサイエンス,プライム（内国株式）,False
4334,ユークス,スタンダード（内国株式）,False
4335,ＩＰＳホールディングス,スタンダード（内国株式）,False
4337,ぴあ,プライム（内国株式）,False
4341,西菱電機,スタンダード（内国株式）,False
4343,イオンファンタジー,プライム（内国株式）,False
4344,ソースネクスト,プライム（内国株式）,False
4345,シーティーエス,プライム（内国株式）,False
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,スタンダード（内国株式）,False
4347,ブロードメディア,スタンダード（内国株式）,False
4350,メディカルシステムネットワーク,スタンダード（内国株式）,False
4351,山田再生系債権回収総合事務所,スタンダード（内国株式）,False
4356,応用技術,スタンダード（内国株式）,False
4360,マナック・ケミカル・パートナーズ,スタンダード（内国株式）,False
4361,川口化学工業,スタンダード（内国株式）,False
4362,日本精化,プライム（内国株式）,False
4365,松本油脂製薬,スタンダード（内国株式）,False
4366,ダイトーケミックス,スタンダード（内国株式）,False
4367,広栄化学,スタンダード（内国株式）,False
4368,扶桑化学工業,プライム（内国株式）,False
4369,トリケミカル研究所,プライム（内国株式）,False
4370,モビルス,グロース（内国株式）,False
4371,コアコンセプト・テクノロジー,グロース（内国株式）,False
4372,ユミルリンク,グロース（内国株式）,False
4373,シンプレクス・ホールディングス,プライム（内国株式）,False
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース（内国株式）,False
4375,セーフィー,グロース（内国株式）,False
4376,くふうカンパニーホールディングス,グロース（内国株式）,False
4377,ワンキャリア,グロース（内国株式）,False
4378,ＣＩＮＣ,グロース（内国株式）,False
4379,Ｐｈｏｔｏｓｙｎｔｈ,グロース（内国株式）,False
4380,Ｍマート,グロース（内国株式）,False
4381,ビープラッツ,グロース（内国株式）,False
4382,ＨＥＲＯＺ,スタンダード（内国株式）,False
4384,ラクスル,プライム（内国株式）,False
4385,メルカリ,プライム（内国株式）,True
4386,ＳＩＧグループ,スタンダード（内国株式）,False
4387,ＺＵＵ,グロース（内国株式）,False
4388,エーアイ,グロース（内国株式）,False
4389,プロパティデータバンク,グロース（内国株式）,False
4390,ＩＰＳ,プライム（内国株式）,False
4391,ロジザード,グロース（内国株式）,False
4392,ＦＩＧ,プライム（内国株式）,False
4393,バンク・オブ・イノベーション,グロース（内国株式）,False
4394,エクスモーション,グロース（内国株式）,False
