銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
8850,スターツコーポレーション,プライム（内国株式）,False,5090.0,245196505088.0,65750.0,1.3910478,10.341325
8860,フジ住宅,プライム（内国株式）,False,809.0,29158856704.0,63420.0,0.5274642,6.161678
8864,空港施設,プライム（内国株式）,False,1082.0,56272830464.0,152207.0,0.9257421,21.817118
8869,明和地所,スタンダード（内国株式）,False,1126.0,25956603904.0,129574.0,0.70749515,8.962111
8871,ゴールドクレスト,スタンダード（内国株式）,False,3430.0,113497866240.0,40349.0,0.8442133,22.627882
8876,リログループ,プライム（内国株式）,False,1759.0,263083687936.0,498539.0,4.0021496,6.4585476
8877,エスリード,プライム（内国株式）,False,5420.0,83010174976.0,21188.0,1.1077362,8.894473
8881,日神グループホールディングス,プライム（内国株式）,False,583.0,27228839936.0,56203.0,0.4029226,13.243979
8887,シーラホールディングス,スタンダード（内国株式）,False,431.0,17668065280.0,344703.0,0.011799154,0.0
8891,ＡＭＧホールディングス,スタンダード（内国株式）,False,2235.0,6221420544.0,7228.0,0.5581692,6.4528313
8892,エスコン,プライム（内国株式）,False,1041.0,99117850624.0,170528.0,1.325381,8.853944
8894,ＲＥＶＯＬＵＴＩＯＮ,スタンダード（内国株式）,False,71.0,7849939968.0,4201753.0,6.3944464,0.0
8897,ＭＩＲＡＲＴＨホールディングス,プライム（内国株式）,False,404.0,54342402048.0,1036938.0,0.68046653,6.4370775
8898,センチュリー２１・ジャパン,スタンダード（内国株式）,False,1121.0,11534487552.0,3873.0,1.7704468,14.38628
8904,ＡＶＡＮＴＩＡ,スタンダード（内国株式）,False,838.0,12180945920.0,43392.0,0.44803247,50.87402
8908,毎日コムネット,スタンダード（内国株式）,False,818.0,14433073152.0,12287.0,1.1010907,9.019823
8912,エリアクエスト,スタンダード（内国株式）,False,157.0,2500024832.0,25598.0,1.8011776,44.318184
8914,エリアリンク,スタンダード（内国株式）,False,2422.0,61659459584.0,72263.0,2.188545,17.15215
